country,coordinates,type,vei,year
Japan,"[34.08, 139.53]",Stratovolcano,3.0,1970-01-01
Indonesia,"[-8.108, 112.92]",Stratovolcano,3.0,1970-01-01
Italy,"[38.789, 15.213]",Stratovolcano,3.0,1970-01-01
Indonesia,"[-7.2, 109.92]",Complex volcano,2.0,1970-01-01
Philippines,"[12.77, 124.05]",Stratovolcano,2.0,1970-01-01
Japan,"[42.53, 140.83]",Stratovolcano,2.0,1970-01-01
Indonesia,"[-7.93, 112.308]",Stratovolcano,4.0,1970-01-01
Indonesia,"[-8.54, 123.59]",Complex volcano,2.0,1970-01-01
Papua New Guinea,"[-4.649, 145.964]",Stratovolcano,2.0,1970-01-01
Italy,"[37.734, 15.004]",Stratovolcano,2.0,1970-01-01
Italy,"[37.734, 15.004]",Stratovolcano,3.0,1970-01-01
Japan,"[35.9, 137.48]",Complex volcano,3.0,1970-01-01
Papua New Guinea,"[-4.1, 145.061]",Stratovolcano,4.0,1970-01-01
United States,"[46.2, -122.18]",Stratovolcano,6.0,1969-12-31
Japan,"[31.93, 130.87]",Shield volcano,3.0,1970-01-01
Iceland,"[63.98, -19.7]",Stratovolcano,4.0,1970-01-01
Ecuador,"[-1.467, -78.442]",Stratovolcano,3.0,1970-01-01
Iceland,"[63.63, -19.05]",Subglacial volcano,4.0,1970-01-01
Indonesia,"[-7.542, 110.442]",Stratovolcano,3.0,1970-01-01
Japan,"[31.93, 130.87]",Shield volcano,3.0,1970-01-01
Japan,"[41.5, 139.37]",Stratovolcano,4.0,1970-01-01
Iceland,"[64.42, -17.33]",Caldera,2.0,1970-01-01
Japan,"[31.58, 130.67]",Stratovolcano,4.0,1970-01-01
Indonesia,"[-8.125, 114.042]",Stratovolcano,4.0,1970-01-01
Indonesia,"[-3.52, 102.62]",Stratovolcano,2.0,1970-01-01
Japan,"[30.43, 130.22]",Stratovolcano,2.0,1970-01-01
Indonesia,"[2.28, 125.425]",Stratovolcano,2.0,1970-01-01
Papua New Guinea,"[-4.1, 145.061]",Stratovolcano,2.0,1970-01-01
Japan,"[31.93, 130.87]",Shield volcano,2.0,1970-01-01
Philippines,"[13.257, 123.685]",Stratovolcano,3.0,1970-01-01
Papua New Guinea,"[-4.271, 152.203]",Pyroclastic shield,4.0,1970-01-01
Japan,"[31.58, 130.67]",Stratovolcano,2.0,1970-01-01
Papua New Guinea,"[-2.38, 147.35]",Complex volcano,0.0,1970-01-01
Ecuador,"[-2.03, -78.33]",Stratovolcano,3.0,1970-01-01
Indonesia,"[2.78, 125.48]",Stratovolcano,1.0,1970-01-01
Papua New Guinea,"[-4.271, 152.203]",Pyroclastic shield,3.0,1970-01-01
Indonesia,"[-7.542, 110.442]",Stratovolcano,2.0,1970-01-01
Papua New Guinea,"[-4.1, 145.061]",Stratovolcano,4.0,1970-01-01
Papua New Guinea,"[-4.1, 145.061]",Stratovolcano,2.0,1970-01-01
Iceland,"[63.63, -19.05]",Subglacial volcano,4.0,1970-01-01
Indonesia,"[-7.93, 112.308]",Stratovolcano,5.0,1970-01-01
United States,"[19.425, -155.292]",Shield volcano,0.0,1970-01-01
Indonesia,"[-7.542, 110.442]",Stratovolcano,3.0,1970-01-01
Indonesia,"[0.8, 127.325]",Stratovolcano,2.0,1970-01-01
Philippines,"[13.257, 123.685]",Stratovolcano,2.0,1970-01-01
Japan,"[32.88, 131.1]",Caldera,3.0,1970-01-01
Italy,"[38.789, 15.213]",Stratovolcano,2.0,1970-01-01
Japan,"[37.73, 140.25]",Stratovolcano,2.0,1970-01-01
Indonesia,"[3.138, 125.491]",Submarine volcano,3.0,1970-01-01
Japan,"[34.08, 139.53]",Stratovolcano,2.0,1970-01-01
Iceland,"[63.98, -19.7]",Stratovolcano,3.0,1970-01-01
Guatemala,"[14.473, -90.88]",Stratovolcano,4.0,1970-01-01
Indonesia,"[-0.381, 100.473]",Complex volcano,2.0,1970-01-01
Iceland,"[65.73, -16.78]",Caldera,1.0,1970-01-01
Philippines,"[13.257, 123.685]",Stratovolcano,2.0,1970-01-01
Indonesia,"[-7.93, 112.308]",Stratovolcano,3.0,1970-01-01
Japan,"[37.12, 139.97]",Stratovolcano,3.0,1970-01-01
Japan,"[36.4, 138.53]",Complex volcano,2.0,1970-01-01
Japan,"[42.53, 140.83]",Stratovolcano,2.0,1970-01-01
Japan,"[36.4, 138.53]",Complex volcano,2.0,1970-01-01
